protocol,chain,field_role,candidate_address,confirmed_safe,owner_count,block_height,check_date
Aave,ethereum-mainnet,communityMultisig,0xFEA47018D632A77bA579846c840d5706705Dc598,true,13,,
Aave,ethereum-mainnet,executorMultisig,0x369e6F597e22EaB55fFb173C6d9cD234BD699111,true,2,,
Aave,ethereum-mainnet,operationsMultisig,0xBE1685C81aA44FF9FB319dD389addd9374383e90,true,6,,
Aave,ethereum-mainnet,pauserMultisig,0x5050389572f2d220ad927CcbeA0D406831012390,true,7,,
Lido,ethereum-mainnet,CircuitBreaker_Committee,0x8772E3a2D86B9347A2688f9bc1808A6d8917760C,true,6,,
Lido,ethereum-mainnet,Emergency_Brakes_Ethereum,0x73b047fe6337183A454c5217241D780a932777bD,true,5,,
Balancer,ethereum-mainnet,DAO_Multisig,0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,true,11,,
Balancer,ethereum-mainnet,Treasury_Safe,0x0EFcCBb9E2C09Ea29551879bd9Da32362b32fc89,true,7,,
Balancer,ethereum-mainnet,OpCo_Ltd_Safe,0x3B8910F378034FD6E103Df958863e5c684072693,true,4,,
Balancer,ethereum-mainnet,Onchain_Ltd_Safe,0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,true,4,,
Balancer,ethereum-mainnet,BizDev_Safe,0xF3B4829C8B9E2910C2396538F49a12b0c2475a7e,true,5,,
Balancer,ethereum-mainnet,Operator_Safe,0xBeF27037bC6311b96635E5e9Af3A73EBF6Ca8878,true,5,,
Balancer,ethereum-mainnet,Protocol_Fees_Multisig,0x7c68c42De679ffB0f16216154C996C354cF1161B,true,2,,
Balancer,ethereum-mainnet,Mainnet_Fee_Setter,0xf4A80929163C5179Ca042E1B292F5EFBBE3D89e6,true,2,,
Balancer,ethereum-mainnet,LM_Multisig_Omnisig,0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e,true,2,,
Balancer,ethereum-mainnet,Aura_Locker_Safe,0x9a5BDF08a6969A4bDb7724beE3c6d8964BDc0B28,true,2,,
