protocol,chain,field_role,candidate_address,confirmed_safe,owner_count,block_height,check_date
GMX,arbitrum,multisig_1,0x4b6ACC5b2db1757bD49408FeE92e32D39608B5d9,true,7,503687403,2026-09-10
GMX,arbitrum,security_multisig_1,0x8D1d2e24eC641eDC6a1ebe0F3aE7af0EBC573e0D,true,8,503687403,2026-09-10
GMX,arbitrum,GMX_DAO,0x4bd1cdAab4254fC43ef6424653cA2375b4C94C0E,false,,503687403,2026-09-10
Camelot,arbitrum,Team_Multisig_ContractsOwnership,0x460d0F7B75412592D14440857f715ec28861c2D7,true,3,503687403,2026-09-10
Camelot,arbitrum,Ecosystem_Multisig_ContractsOwnership,0x8B797D42D4B2C330575e18F7C793fE4383086807,true,6,503687403,2026-09-10
Aave_Arbitrum,arbitrum,GRANULAR_GUARDIAN,0x4922093c476CfbCF903C7C4082d2D64bAE8A37cE,false,,503687403,2026-09-10
Aave_Arbitrum,arbitrum,GOVERNANCE_GUARDIAN,0x1A0581dd5C7C3DA4Ba1CDa7e0BcA7286afc4973b,true,9,503687403,2026-09-10
Aave_Arbitrum,arbitrum,ACL_ADMIN_ExecutorLvl1,0xFF1137243698CaA18EE364Cc966CF0e02A4e6327,false,,503687403,2026-09-10
Compound_III_Arbitrum,arbitrum,pauseGuardian,0x78E6317DD6D43DdbDa00Dce32C2CbaFc99361a9d,true,9,503687403,2026-09-10
Curve_Finance_Arbitrum,arbitrum,Emergency_DAO,0x6d447e544D01a59cb0774763bf15526574CffFeD,true,9,503687403,2026-09-10
OneInch_Arbitrum,arbitrum,Router_V6_Owner,0x0f6E3fB5D73AFd2e594AC4b962E57E603E650875,true,5,503687403,2026-09-10
Silo_Finance_Arbitrum,arbitrum,Factory_Owner,0x865A1DA42d512d8854c7b0599c962F67F5A5A9d9,true,4,503687403,2026-09-10
Radiant_Capital_Arbitrum,arbitrum,PoolAdmin,0xb89546c5aa3b9d5BD1DEaB4474871455F9cc9841,false,,503687403,2026-09-10
Radiant_Capital_Arbitrum,arbitrum,EmergencyAdmin,0xDdF609735785bF8c7648FFfd12bE543cE6740928,true,5,503687403,2026-09-10
Dolomite_Arbitrum,arbitrum,DolomiteMargin_Owner,0xC2B66E247daE5Ee749Ae1d827190115F3653dE06,false,,503687403,2026-09-10
Beefy_Finance_Arbitrum,arbitrum,devMultisig,0xf7EC8986c660Fa8269f6440A631B22337f398Ccd,true,6,503687403,2026-09-10
Beefy_Finance_Arbitrum,arbitrum,treasuryMultisig,0x3f5eddad52C665A4AA011cd11A21E1d5107d7862,true,7,503687403,2026-09-10
Chainlink_Data_Feeds_Arbitrum,arbitrum,ETH_USD_Feed_Owner,0x2F3b388EB017613eb51F06843DFEF12Db1fDD3c5,true,9,503687403,2026-09-10
Pendle_Finance_Arbitrum,arbitrum,governanceProxy,0x2aD631F72fB16d91c4953A7f4260A97C2fE2f31e,false,,503687403,2026-09-10
Pendle_Finance_Arbitrum,arbitrum,devProxyAdmin,0xD37eB2E6DE40a33ba68BaD94427723b66c954EA9,false,,503687403,2026-09-10
Morpho_Blue_Arbitrum,arbitrum,Morpho_DAO_Safe,0xFd358f49678bd408FBCe0cF6bb9DFA5857d5d9b2,true,9,504446192,2026-09-12
Aave_Avalanche,avalanche,GRANULAR_GUARDIAN,0xc1162BCb2E5E3ca4725512008c7522dF8C8B7B65,false,,94935570,2026-09-10
Aave_Avalanche,avalanche,GOVERNANCE_GUARDIAN,0x360c0a69Ed2912351227a0b745f890CB2eBDbcFe,true,9,94935570,2026-09-10
Aave_Avalanche,avalanche,EXECUTOR_LVL_1,0x3C06dce358add17aAf230f2234bCCC4afd50d090,false,,94935570,2026-09-10
Curve_Finance_Avalanche,avalanche,Emergency_DAO,0x6d447e544D01a59cb0774763bf15526574CffFeD,true,9,94935570,2026-09-10
Silo_Finance_Avalanche,avalanche,Factory_Owner,0xE8e8041cB5E3158A0829A19E014CA1cf91098554,true,4,94935570,2026-09-10
OneInch_Avalanche,avalanche,Router_V6_Owner,0x3b26f6325868Ddd8CB223Ac766cE02a2906653A5,true,5,94935570,2026-09-10
Chainlink_Data_Feeds_Avalanche,avalanche,ETH_USD_Feed_Owner,0x75d8a28B87F5A88849542A7e1Ac838F19b5D34C7,true,9,94935570,2026-09-10
Beefy_Finance_Avalanche,avalanche,devMultisig,0x3A0b8B7a3ea8D1670e000b1Da5bD41373bF8da42,true,6,94935570,2026-09-10
Beefy_Finance_Avalanche,avalanche,treasuryMultisig,0x26dE4EBffBE8d3d632A292c972E3594eFc2eCeEd,true,7,94935570,2026-09-10
API3_Avalanche,avalanche,Manager_Multisig,0x2AAE699ed04BBbD068f67a5b3C813eBB35f2c9E8,true,8,94935570,2026-09-10
CoW_Protocol_Avalanche,avalanche,AllowListAuth_Owner,0x4580cc095826E1318D11b123404b0AC0aBE4D932,true,9,94935570,2026-09-10
Beefy_Finance_Berachain,berachain,devMultisig,0x04db327e5d9A0c680622E2025B5Be7357fC757f0,true,6,26013273,2026-09-10
Beefy_Finance_Berachain,berachain,treasuryMultisig,0x10E13f11419165beB0F456eC8a230899E4013BBD,true,7,26013273,2026-09-10
API3_Berachain,berachain,Manager_Multisig,0x2AAE699ed04BBbD068f67a5b3C813eBB35f2c9E8,true,8,26013273,2026-09-10
Kodiak_Finance_Berachain,berachain,UniV3Factory_Owner,0x21802b7C3DF57e98df45f1547b0F1a72F2CD1aED,true,5,26013273,2026-09-10
